2019-02-28 05:01:30 status half-installed libsmartcols1:arm64 2.33.1-0.1
2019-02-28 05:01:31 status unpacked libsmartcols1:arm64 2.33.1-0.1
2019-02-28 05:01:31 install libss2:arm64 <none> 1.44.5-1
2019-02-28 05:01:31 status half-installed libss2:arm64 1.44.5-1
2019-02-28 05:01:31 status unpacked libss2:arm64 1.44.5-1
2019-02-28 05:01:32 install libstdc++6:arm64 <none> 8.2.0-21
2019-02-28 05:01:32 status half-installed libstdc++6:arm64 8.2.0-21
2019-02-28 05:01:32 status unpacked libstdc++6:arm64 8.2.0-21
2019-02-28 05:01:32 install libsystemd0:arm64 <none> 240-6
2019-02-28 05:01:32 status half-installed libsystemd0:arm64 240-6
2019-02-28 05:01:33 status unpacked libsystemd0:arm64 240-6
2019-02-28 05:01:33 install libtasn1-6:arm64 <none> 4.13-3
2019-02-28 05:01:33 status half-installed libtasn1-6:arm64 4.13-3
2019-02-28 05:01:33 status unpacked libtasn1-6:arm64 4.13-3
2019-02-28 05:01:34 install libtext-charwidth-perl:arm64 <none> 0.04-7.1+b1
2019-02-28 05:01:34 status half-installed libtext-charwidth-perl:arm64 0.04-7.1+b1
2019-02-28 05:01:34 status unpacked libtext-charwidth-perl:arm64 0.04-7.1+b1
2019-02-28 05:01:34 install libtext-wrapi18n-perl:all <none> 0.06-7.1
2019-02-28 05:01:34 status half-installed libtext-wrapi18n-perl:all 0.06-7.1
2019-02-28 05:01:34 status unpacked libtext-wrapi18n-perl:all 0.06-7.1
2019-02-28 05:01:35 install libtinfo6:arm64 <none> 6.1+20181013-2
2019-02-28 05:01:35 status half-installed libtinfo6:arm64 6.1+20181013-2
2019-02-28 05:01:35 status unpacked libtinfo6:arm64 6.1+20181013-2
2019-02-28 05:01:35 install libudev1:arm64 <none> 240-6
2019-02-28 05:01:35 status half-installed libudev1:arm64 240-6
2019-02-28 05:01:36 status unpacked libudev1:arm64 240-6
2019-02-28 05:01:36 install libunistring2:arm64 <none> 0.9.10-1
2019-02-28 05:01:36 status half-installed libunistring2:arm64 0.9.10-1
2019-02-28 05:01:36 status unpacked libunistring2:arm64 0.9.10-1
2019-02-28 05:01:37 install libuuid1:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:37 status half-installed libuuid1:arm64 2.33.1-0.1
2019-02-28 05:01:37 status unpacked libuuid1:arm64 2.33.1-0.1
2019-02-28 05:01:37 install libzstd1:arm64 <none> 1.3.8+dfsg-3
2019-02-28 05:01:37 status half-installed libzstd1:arm64 1.3.8+dfsg-3
2019-02-28 05:01:38 status unpacked libzstd1:arm64 1.3.8+dfsg-3
2019-02-28 05:01:38 install login:arm64 <none> 1:4.5-1.1
2019-02-28 05:01:38 status half-installed login:arm64 1:4.5-1.1
2019-02-28 05:01:38 status unpacked login:arm64 1:4.5-1.1
2019-02-28 05:01:39 upgrade mawk:arm64 1.3.3-17+b3 1.3.3-17+b3
2019-02-28 05:01:39 status half-configured mawk:arm64 1.3.3-17+b3
